URL,Status,Response Code,Protocol,Method,Content-Type,Client Address,Client Port,Remote Address,Remote Port,Exception,Request Start Time,Request End Time,Response Start Time,Response End Time,Duration (ms),DNS Duration (ms),Connect Duration (ms),SSL Duration (ms),Request Duration (ms),Response Duration (ms),Latency (ms),Speed (KB/s),Request Speed (KB/s),Response Speed (KB/s),Request Handshake Size (bytes),Request Header Size (bytes),Request Body Size (bytes),Response Handshake Size (bytes),Response Header Size (bytes),Response Body Size (bytes),Request Compression,Response Compression
https://iid.googleapis.com/iid/register,COMPLETE,200,https,POST,text/plain; charset=UTF-8,198.18.72.253/198.18.72.253,0,iid.googleapis.com/172.217.5.74,443,,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,164,,,,7,21,136,7.2939453,88.72754,27.389648,,414,222,,386,203,,-28.5%
https://device-provisioning.googleapis.com/checkin,COMPLETE,200,https,POST,application/json; charset=UTF-8,198.18.72.253/198.18.72.253,0,device-provisioning.googleapis.com/172.217.5.74,443,,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,86,,,,5,24,57,15.40918,123.046875,29.581055,,276,354,,392,335,,-20.1%
https://app-measurement.com/a,COMPLETE,204,https,POST,image/gif,198.18.72.253/198.18.72.253,0,app-measurement.com/216.58.194.174,443,,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,183,2,21,84,13,5,58,5.8271484,60.396484,56.25,,296,508,,288,,18.1%,
https://graph.facebook.com/v3.0/282326662274782/activities,COMPLETE,200,https,POST,application/json; charset=UTF-8,198.18.72.253/198.18.72.253,0,graph.facebook.com/157.240.11.17,443,,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,313,2,29,91,18,12,161,4.857422,51.43164,49.560547,,255,693,,593,16,,
https://graph.facebook.com/v3.0/282326662274782/activities,COMPLETE,200,https,POST,application/json; charset=UTF-8,198.18.72.253/198.18.72.253,0,graph.facebook.com/157.240.11.17,443,,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,02 Jun 2018 16:28:46,337,2,30,85,9,7,204,3.9111328,80.40332,84.96094,,255,486,,593,16,,
https://settings.crashlytics.com,EXCEPTION,0,https,CONNECT,,198.18.72.253/198.18.72.253,0,settings.crashlytics.com/54.225.156.155,443,com.xk72.proxy.ProxyException: EOF,02 Jun 2018 16:28:46,,,,,2,65,235,,,,,,,,,,,,,,
https://iid.googleapis.com/iid/register,COMPLETE,200,https,POST,text/plain; charset=UTF-8,198.18.72.253/198.18.72.253,0,iid.googleapis.com/172.217.5.74,443,,02 Jun 2018 16:28:47,02 Jun 2018 16:28:47,02 Jun 2018 16:28:47,02 Jun 2018 16:28:47,140,,,,5,21,114,8.900391,133.39844,27.576172,,383,300,,386,207,,-31.0%
https://setting.rayjump.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,setting.rayjump.com/34.233.198.162,443,,02 Jun 2018 16:28:47,,,02 Jun 2018 16:29:39,52495,11,64,,,,,0.21875,,,,183,3820,,0,7777,,
https://cloudconfig.googleapis.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,cloudconfig.googleapis.com/172.217.5.74,443,,02 Jun 2018 16:28:47,,,02 Jun 2018 16:32:48,241425,5,14,,,,,0.021484375,,,,197,1143,,0,4203,,
https://analytics.rayjump.com,COMPLETE,-1,https,CONNECT,,198.18.72.253/198.18.72.253,0,analytics.rayjump.com/52.2.24.206,443,,02 Jun 2018 16:28:47,,,02 Jun 2018 16:29:20,33141,10,64,,,,,0.20019531,,,,187,1376,,0,5251,,
